Date,Bitcoin,Gold,Bitcoin_pre,Gold_pre,predict_gold_volatility,predict_bitcoin_volatility,predict_both_volatility
2016/9/17,607.04,1308.35,610.8293833,1308.208864,0.102892872,0.053893733,0.074466643
2016/9/18,611.58,1308.35,609.6542635,1308.459577,0.073902749,0.037968113,0.052971199
2016/9/19,610.19,1314.85,606.8725829,1308.300909,0.023739514,0.513769509,0.110438391
2016/9/20,608.66,1313.8,611.2501053,1314.725747,0.136647789,0.216842945,0.17213689
2016/9/21,598.88,1326.1,610.8804771,1314.013567,0.075661461,0.167583661,0.11260384
2016/9/22,597.42,1339.1,609.1276748,1325.652108,0.229021634,0.648990766,0.38552941
2016/9/23,594.08,1338.65,598.9561809,1339.317724,0.656021417,0.529749999,0.589514499
2016/9/24,603.88,1338.65,597.4510154,1338.554841,0.253734482,0.432324375,0.331203263
2016/9/25,601.74,1338.65,594.5483901,1338.625451,0.225709816,0.975158797,0.469151269
2016/9/26,598.98,1340.5,603.4637618,1338.783885,0.16390121,0.867356527,0.377042152
2016/9/27,605.96,1327,601.9135764,1340.249743,0.050876326,0.77416824,0.19846117
2016/9/28,605.67,1322.5,599.8152593,1327.521305,0.382173204,0.900132337,0.586520639
2016/9/29,603.85,1318.1,605.4007992,1322.048271,0.275198194,0.795519956,0.467894919
2016/9/30,609.39,1322.5,605.4808252,1318.517125,0.264378142,0.67210263,0.421532021
2016/10/1,614.82,1322.5,604.919358,1322.173305,0.253056783,0.697107522,0.42000927
2016/10/2,612.98,1322.5,609.1483367,1322.631273,0.236843538,0.687928252,0.40364757
2016/10/3,611.85,1313.3,613.9619017,1322.593618,0.222227266,0.628823097,0.373820328
2016/10/4,609.62,1283.3,614.0460995,1313.158195,0.259269612,0.582570294,0.388642219
2016/10/5,607.18,1269.4,612.6182933,1284.055469,0.661792372,0.553774244,0.605378866
2016/10/6,612.08,1254.5,608.7423423,1268.743168,0.682452683,0.530345263,0.601610794
2016/10/7,617.21,1258.75,607.3071767,1255.322024,0.704634342,0.535313684,0.614166431
2016/10/8,614.74,1258.75,612.9397647,1258.029641,0.689175986,0.538971236,0.609463725
2016/10/9,615.65,1258.75,616.8065529,1259.2177,0.649575653,0.522894815,0.582803346
2016/10/10,617.54,1259.5,614.6046769,1258.655671,0.209005579,0.499078766,0.322970968
2016/10/11,614.77,1253.45,616.3856104,1259.237855,0.194477303,0.459892964,0.299063109
2016/10/12,635.01,1256.5,617.6050476,1254.134631,0.384094802,0.451979646,0.416656972
2016/10/13,635.96,1261.05,614.5521271,1255.581673,0.253224705,1.110892835,0.530382419
2016/10/14,634.02,1251.75,634.2711433,1261.963286,0.306020762,1.054880323,0.568168356
2016/10/15,637.94,1251.75,636.9276269,1251.140052,0.631865313,1.017169516,0.801694539
2016/10/16,641.42,1251.75,634.7738247,1252.086835,0.19351767,0.973979804,0.434145485
2016/10/17,638.97,1254.8,636.8086265,1251.77171,0.179100304,0.927200633,0.407506951
2016/10/18,636.29,1258.2,641.3830195,1254.427176,0.233050923,0.899213931,0.457780119
2016/10/19,629.25,1269.05,640.5875183,1258.808789,0.23618169,0.873610129,0.454236411
2016/10/20,627.72,1271.65,636.0976442,1268.171541,0.843093838,0.926656642,0.883888287
2016/10/21,631.92,1266.05,628.487034,1272.53034,0.216407474,0.886505203,0.438002685
2016/10/22,655.48,1266.05,628.6081376,1265.426193,0.327021826,0.856273098,0.529169153
2016/10/23,653.25,1266.05,632.3786591,1266.395955,0.179773346,1.447820782,0.510176035
2016/10/24,651.39,1265.55,653.5549865,1266.066008,0.168703648,1.416546906,0.488852361
2016/10/25,655.31,1269.4,654.3564089,1265.223278,0.158677211,1.382905575,0.468439537
2016/10/26,651.45,1270.5,653.1900695,1269.954844,0.236934834,1.342183425,0.563923761
2016/10/27,682.22,1266.25,653.5824889,1269.804759,0.159218998,1.327822465,0.459798394
2016/10/28,687.68,1273,651.0705068,1267.041469,0.234688282,2.062487202,0.695730967
2016/10/29,685.91,1273,682.7158882,1272.235747,0.383557621,2.022565325,0.880778261
2016/10/30,698,1273,688.2379736,1273.567239,0.151737907,1.989217767,0.549399436
2016/10/31,702,1272,685.6966881,1272.765906,0.144289804,2.009860297,0.538518661
2016/11/1,697.01,1288.45,697.2391656,1271.909115,0.142329909,1.963805165,0.528685361
2016/11/2,733.33,1303.75,702.8196572,1288.655966,1.207706803,1.960737792,1.538829545
2016/11/3,686.17,1301,698.0508383,1303.145902,1.045445026,2.659390938,1.667407278
2016/11/4,683.69,1302.8,730.4379909,1301.828377,0.235157062,9.381592348,1.485310639
2016/11/5,704.79,1302.8,689.7327358,1301.933364,0.195499795,7.960773817,1.247529419
2016/11/6,712,1302.8,684.8120312,1303.544564,0.185388146,8.226667226,1.234960155
2016/11/7,709.96,1283.05,700.0610655,1302.327443,0.178940912,7.353441578,1.147097007
2016/11/8,708.97,1282.35,713.2201366,1283.447903,1.290244724,6.62157497,2.922918433
2016/11/9,720.93,1281.4,714.5474959,1282.285833,0.261446251,6.039085439,1.256541382
2016/11/10,721.5,1267.5,706.1656549,1281.147681,0.254322953,5.786276188,1.213088144
2016/11/11,715.45,1236.45,717.4247825,1268.231969,0.620282915,3.907689671,1.556879296
2016/11/12,703.71,1236.45,726.2200627,1235.926002,4.274463097,5.0838301,4.6616139
2016/11/13,702.28,1236.45,717.4555407,1236.944717,0.269246039,4.987355051,1.158803518
2016/11/14,706.46,1213.6,699.1607735,1236.088226,0.261258233,3.90541414,1.010109695
2016/11/15,710.91,1226.95,702.5901374,1214.109232,1.720491278,3.858922385,2.57667272
2016/11/16,711.73,1229.2,710.831359,1226.445029,0.911239475,3.813230199,1.864072393
2016/11/17,736.96,1226.75,708.876086,1229.50886,0.379443776,2.12081385,0.89706723
2016/11/18,747.52,1211,708.7622859,1226.770283,0.357706026,3.953662932,1.189222038
2016/11/19,748.98,1211,739.2536554,1210.935339,0.679558885,3.928364144,1.633877216
2016/11/20,729.06,1211,749.5471087,1211.269115,0.663863236,3.882018477,1.605343998
2016/11/21,738.53,1214.25,746.302869,1210.622944,0.381711438,4.049439433,1.243268815
2016/11/22,736.97,1212.25,729.6899358,1214.683838,0.406537567,4.020249029,1.278429607
2016/11/23,741.63,1185.35,740.3998669,1211.900547,0.365895536,3.981938728,1.207051617
2016/11/24,737.45,1186.1,736.1162905,1185.970325,0.730743708,3.936291594,1.696001272
2016/11/25,735.64,1187.7,740.2741769,1185.579204,0.716839791,3.103732887,1.491602908
2016/11/26,733.67,1187.7,739.5075494,1188.047002,0.704056532,2.60558599,1.354429709
2016/11/27,727.96,1187.7,736.4347066,1187.648082,0.689323496,2.269288779,1.250709428
