Date,Bitcoin
2016/11/9,621.65
2016/11/10,609.67
2016/11/11,610.92
2016/11/12,608.82
2016/11/13,610.38
2016/11/14,609.11
2016/11/15,607.04
2016/11/16,611.58
2016/11/17,610.19
2016/11/18,608.66
2016/11/19,598.88
2016/11/20,597.42
2016/11/21,594.08
2016/11/22,603.88
2016/11/23,601.74
2016/11/24,598.98
2016/11/25,605.96
2016/11/26,605.67
2016/11/27,603.85
2016/11/28,609.39
2016/11/29,614.82
2016/11/30,612.98
2016/12/1,611.85
2016/12/2,609.62
2016/12/3,607.18
2016/12/4,612.08
2016/12/5,617.21
2016/12/6,614.74
2016/12/7,615.65
2016/12/8,617.54
2016/12/9,614.77
2016/12/10,635.01
2016/12/11,635.96
2016/12/12,634.02
2016/12/13,637.94
2016/12/14,641.42
2016/12/15,638.97
2016/12/16,636.29
2016/12/17,629.25
2016/12/18,627.72
2016/12/19,631.92
2016/12/20,655.48
2016/12/21,653.25
2016/12/22,651.39
2016/12/23,655.31
2016/12/24,651.45
2016/12/25,682.22
2016/12/26,687.68
2016/12/27,685.91
2016/12/28,698
2016/12/29,702
2016/12/30,697.01
2016/12/31,733.33
2017/1/1,686.17
2017/1/2,683.69
2017/1/3,704.79
2017/1/4,712
2017/1/5,709.96
2017/1/6,708.97
2017/1/7,720.93
2017/1/8,721.5
2017/1/9,715.45
2017/1/10,703.71
2017/1/11,702.28
2017/1/12,706.46
2017/1/13,710.91
2017/1/14,711.73
2017/1/15,736.96
2017/1/16,747.52
2017/1/17,748.98
2017/1/18,729.06
2017/1/19,738.53
2017/1/20,736.97
2017/1/21,741.63
2017/1/22,737.45
2017/1/23,735.64
2017/1/24,733.67
2017/1/25,727.96
2017/1/26,727.31
2017/1/27,732.71
2017/1/28,742.69
2017/1/29,742.05
2017/1/30,772.43
2017/1/31,764.33
2017/2/1,762.97
2017/2/2,754.63
2017/2/3,756.62
2017/2/4,758.99
2017/2/5,769.72
2017/2/6,770.02
2017/2/7,769.08
2017/2/8,777
2017/2/9,777
2017/2/10,777.99
2017/2/11,774.89
2017/2/12,776.75
2017/2/13,775.88
2017/2/14,788.7
2017/2/15,788.4
2017/2/16,788.67
2017/2/17,793.09
2017/2/18,824.21
2017/2/19,834.97
2017/2/20,901.31
2017/2/21,891.61
2017/2/22,892.6
2017/2/23,897.33
2017/2/24,930.37
2017/2/25,930.34
2017/2/26,963.38
2017/2/27,952.15
2017/2/28,958.12
2017/3/1,997.72
2017/3/2,1015.97
2017/3/3,1013.42
2017/3/4,1126.76
2017/3/5,994.67
2017/3/6,999.65
2017/3/7,896.83
2017/3/8,908.14
2017/3/9,910.49
2017/3/10,906.05
2017/3/11,785.22
2017/3/12,780.92
2017/3/13,826.29
2017/3/14,817.91
2017/3/15,819.55
2017/3/16,830.5
2017/3/17,903.84
2017/3/18,906.6
2017/3/19,895.798875
2017/3/20,893.6210875
2017/3/21,895.64
2017/3/22,918.603625
2017/3/23,922.0736125
2017/3/24,919.97
2017/3/25,893.045625
2017/3/26,915.95625
2017/3/27,915.05
2017/3/28,920.31225
2017/3/29,915.933
2017/3/30,912.19
2017/3/31,964.706075
2017/4/1,979.703875
2017/4/2,983.42
2017/4/3,1013.027
2017/4/4,1030.999413
2017/4/5,1034.07
2017/4/6,1024.01375
2017/4/7,1050.11
2017/4/8,1052.84
2017/4/9,976.103
2017/4/10,999.1035
2017/4/11,997.59
2017/4/12,1000.604625
2017/4/13,999.877375
2017/4/14,1001.2
2017/4/15,1012.325988
2017/4/16,1035.208125
2017/4/17,1035.2
2017/4/18,1056.637138
2017/4/19,1052.779286
2017/4/20,1050.87
2017/4/21,1123.788429
2017/4/22,1123.223188
2017/4/23,1130.01
2017/4/24,1174.86625
2017/4/25,1150.605714
2017/4/26,1150.37
2017/4/27,1190.75195
2017/4/28,1187.565286
2017/4/29,1190.89
2017/4/30,1259.410817
2017/5/1,1285.14
2017/5/2,1287
2017/5/3,1270.9333
2017/5/4,1275.197375
2017/5/5,1279.5
2017/5/6,1157.3933
2017/5/7,1192.469143
2017/5/8,1192.09
2017/5/9,1179.159875
2017/5/10,1227.494625
2017/5/11,1227.68
2017/5/12,1245.370786
2017/5/13,1257.399625
2017/5/14,1257
2017/5/15,1091.171888
2017/5/16,952.2323625
2017/5/17,967.69
2017/5/18,1049.084488
2017/5/19,1118.630043
2017/5/20,1113
2017/5/21,1038.789
2017/5/22,941.9197143
2017/5/23,927.93
2017/5/24,956.7863125
2017/5/25,1037.22925
2017/5/26,1041.04
2017/5/27,1040.5755
2017/5/28,1037.90455
2017/5/29,1034.74
2017/5/30,1086.929571
2017/5/31,1099.169125
2017/6/1,1079.99
2017/6/2,1141.600363
2017/6/3,1133.079314
2017/6/4,1133.53
2017/6/5,1190.45425
2017/6/6,1181.149838
2017/6/7,1184.03
2017/6/8,1207.744875
2017/6/9,1226.617038
2017/6/10,1219.09
2017/6/11,1180.023713
2017/6/12,1185.260057
2017/6/13,1170.36
2017/6/14,1186.927413
2017/6/15,1205.634875
2017/6/16,1176.97
2017/6/17,1217.930088
2017/6/18,1241.686325
2017/6/19,1236.63
2017/6/20,1261.311225
2017/6/21,1257.988113
2017/6/22,1240.84
2017/6/23,1279.414688
2017/6/24,1309.109875
2017/6/25,1288.02
2017/6/26,1331.294429
2017/6/27,1334.979038
2017/6/28,1333
2017/6/29,1417.172813
2017/6/30,1452.076288
2017/7/1,1447.55
2017/7/2,1508.292125
2017/7/3,1533.335071
2017/7/4,1518.75
2017/7/5,1535.868429
2017/7/6,1640.619225
2017/7/7,1651.1
2017/7/8,1762.88625
2017/7/9,1820.990563
2017/7/10,1829
2017/7/11,1771.920013
2017/7/12,1776.3165
2017/7/13,1780
2017/7/14,1739.031975
2017/7/15,1807.485063
2017/7/16,1783.98
2017/7/17,1961.520488
2017/7/18,2052.909788
2017/7/19,2008.84
2017/7/20,2090.662313
2017/7/21,2287.710288
2017/7/22,2256.32
2017/7/23,2387.206286
2017/7/24,2211.976857
2017/7/25,2279.82
2017/7/26,2192.9808
2017/7/27,2275.9307
2017/7/28,2290.02
2017/7/29,2285.933914
2017/7/30,2399.242671
2017/7/31,2409.93
2017/8/1,2525.765158
2017/8/2,2516.173143
2017/8/3,2529.53
2017/8/4,2883.313697
2017/8/5,2664.920863
2017/8/6,2683.03
2017/8/7,2827.4913
2017/8/8,2845.372857
2017/8/9,2898.63
2017/8/10,2657.675063
2017/8/11,2748.185086
2017/8/12,2706
2017/8/13,2442.48025
2017/8/14,2464.959814
2017/8/15,2477.94
2017/8/16,2507.389252
2017/8/17,2617.210263
2017/8/18,2600
2017/8/19,2671.04325
2017/8/20,2727.288013
2017/8/21,2713.48
2017/8/22,2589.164888
2017/8/23,2512.366286
2017/8/24,2502.03
2017/8/25,2517.903114
2017/8/26,2585.349186
2017/8/27,2558.3
2017/8/28,2477.641375
2017/8/29,2501.191343
2017/8/30,2421.26
2017/8/31,2561.225429
2017/9/1,2599.729838
2017/9/2,2598.89
2017/9/3,2609.96775
2017/9/4,2491.201214
2017/9/5,2502.86
2017/9/6,2536.238938
2017/9/7,2366.170143
2017/9/8,2327.09
2017/9/9,2385.748571
2017/9/10,2354.783417
2017/9/11,2338.49
2017/9/12,2058.9956
2017/9/13,1931.2143
2017/9/14,1910.96
2017/9/15,2320.12225
2017/9/16,2264.7657
2017/9/17,2265.21
2017/9/18,2682.195363
2017/9/19,2807.609857
2017/9/20,2825.51
2017/9/21,2751.821029
2017/9/22,2560.997917
2017/9/23,2564.3
2017/9/24,2647.625
2017/9/25,2781.636583
2017/9/26,2784.8
2017/9/27,2745.955417
2017/9/28,2866.431667
2017/9/29,2862.9
2017/9/30,2693.633983
2017/10/1,2794.117717
2017/10/2,2790
2017/10/3,3218.115017
2017/10/4,3252.562533
2017/10/5,3210.2
2017/10/6,3457.374333
2017/10/7,3357.326317
2017/10/8,3340.28
2017/10/9,3632.506667
2017/10/10,3852.802914
2017/10/11,3868.52
2017/10/12,4282.992
2017/10/13,4217.028329
2017/10/14,4179.97
2017/10/15,4328.725717
2017/10/16,4130.440067
2017/10/17,4104.71
2017/10/18,4157.958033
2017/10/19,4043.722
2017/10/20,3986.28
2017/10/21,4174.95
2017/10/22,4340.316717
2017/10/23,4331.77
2017/10/24,4360.513317
2017/10/25,4354.308333
2017/10/26,4339.05
2017/10/27,4607.98545
2017/10/28,4594.98785
2017/10/29,4582.52
2017/10/30,4911.740017
2017/10/31,4580.38748
2017/11/1,4585.57
2017/11/2,4344.098317
2017/11/3,4488.72014
2017/11/4,4385.02
2017/11/5,4654.6585
2017/11/6,4310.750183
2017/11/7,4312.26
2017/11/8,4329.955
2017/11/9,4248.090017
2017/11/10,4198.59
2017/11/11,3961.271267
2017/11/12,3319.63
2017/11/13,3216.43
2017/11/14,3763.62604
2017/11/15,3746.060783
2017/11/16,3678.53
2017/11/17,3943.413333
2017/11/18,3977.561667
2017/11/19,3894.48
2017/11/20,3637.50255
2017/11/21,3776.3869
2017/11/22,3777.62
2017/11/23,3942.555
2017/11/24,3910.307383
2017/11/25,3881
2017/11/26,4201.98905
2017/11/27,4193.574667
2017/11/28,4164.27
2017/11/29,4360.722967
2017/11/30,4386.88375
2017/12/1,4394.07
2017/12/2,4225.175
2017/12/3,4338.852
2017/12/4,4318.58
2017/12/5,4376.191667
2017/12/6,4602.280883
2017/12/7,4605.66
2017/12/8,4782.28
2017/12/9,4819.485767
2017/12/10,4822.17
2017/12/11,5563.806567
2017/12/12,5739.438733
2017/12/13,5825.99
2017/12/14,5711.205867
2017/12/15,5603.71294
2017/12/16,5594.66
2017/12/17,5727.6335
2017/12/18,5979.45984
2017/12/19,5986.44
2017/12/20,5983.18455
2017/12/21,5876.079867
2017/12/22,5900.59
2017/12/23,5669.622533
2017/12/24,5893.138417
2017/12/25,5889.82
2017/12/26,5776.69695
2017/12/27,6155.43402
2017/12/28,6136.49
2017/12/29,6388.645167
2017/12/30,6665.306683
2017/12/31,6751.98
2018/1/1,7197.72006
2018/1/2,7437.543317
2018/1/3,7365.99
2018/1/4,6989.071667
2018/1/5,7092.127233
2018/1/6,7128.64
2018/1/7,7158.03706
2018/1/8,6719.39785
2018/1/9,6569.22
2018/1/10,5716.301583
2018/1/11,6550.227533
2018/1/12,6493.63
2018/1/13,7301.42992
2018/1/14,7815.0307
2018/1/15,7868.77
2018/1/16,7817.140383
2018/1/17,8007.654067
2018/1/18,8049.72
2018/1/19,8059.8
2018/1/20,8268.035
2018/1/21,8236.72
2018/1/22,8250.978333
2018/1/23,8707.407267
2018/1/24,8768.8
2018/1/25,9718.29505
2018/1/26,9952.50882
2018/1/27,9919
2018/1/28,10147.372
2018/1/29,10883.912
2018/1/30,10879.88
2018/1/31,11332.622
2018/2/1,11584.83
2018/2/2,11591.22
2018/2/3,13540.98
2018/2/4,16501.97167
2018/2/5,16860.88
2018/2/6,15142.83415
2018/2/7,14869.805
2018/2/8,15068.95
2018/2/9,17276.39333
2018/2/10,16808.36667
2018/2/11,16252.31
2018/2/12,17771.9
2018/2/13,19498.68333
2018/2/14,19279.9
2018/2/15,18961.85667
2018/2/16,17737.11167
2018/2/17,17382.94
2018/2/18,16047.51
2018/2/19,15190.945
2018/2/20,13776.61
2018/2/21,13949.175
2018/2/22,14119.02833
2018/2/23,13740.94
2018/2/24,15589.32167
2018/2/25,14380.58167
2018/2/26,14214.01
2018/2/27,13215.574
2018/2/28,14165.575
2018/3/1,13796
2018/3/2,15005.85667
2018/3/3,15053.26167
2018/3/4,15039.24
2018/3/5,17174.12
2018/3/6,17319.198
2018/3/7,17155.95
2018/3/8,15265.90667
2018/3/9,14714.25333
2018/3/10,14437.42
2018/3/11,13296.794
2018/3/12,13912.882
