,Date,Bitcoin,Gold,rt_bitcoin,rt_gold,sigma_bitcoin,sigma_gold
3,9/14/16,608.82,1321.75,-0.00344336,-0.001436456,0.226783931,0.008053412
4,9/15/16,610.38,1310.8,0.002559057,-0.008318978,0.186536028,0.011401518
5,9/16/16,609.11,1308.35,-0.002082839,-0.001870837,0.174662684,0.061045134
6,9/17/16,607.04,1308.35,-0.003404189,0,0.156706061,0.053132231
7,9/18/16,611.58,1308.35,0.007451086,0,0.143052419,0.05014384
8,9/19/16,610.19,1314.85,-0.002275388,0.004955789,0.151361363,0.047409965
9,9/20/16,608.66,1313.8,-0.002510565,-0.000798889,0.141593429,0.057868351
10,9/21/16,598.88,1326.1,-0.016198575,0.009318602,0.133522408,0.054134901
11,9/22/16,597.42,1339.1,-0.002440861,0.009755443,0.150432621,0.072396943
12,9/23/16,594.08,1338.65,-0.005606393,-0.000336103,0.143527841,0.082747319
13,9/24/16,603.88,1338.65,0.016361512,0,0.137953688,0.079130076
14,9/25/16,601.74,1338.65,-0.003550044,0,0.166856336,0.07586012
15,9/26/16,598.98,1340.5,-0.00459725,0.001381035,0.160952112,0.072965343
16,9/27/16,605.96,1327,0.011585769,-0.010121923,0.155926044,0.070358172
17,9/28/16,605.67,1322.5,-0.000478694,-0.003396871,0.164153077,0.080607015
18,9/29/16,603.85,1318.1,-0.003009461,-0.003332579,0.159318755,0.07920875
19,9/30/16,609.39,1322.5,0.009132634,0.003332579,0.15498142,0.077793726
20,2010/1/16,614.82,1322.5,0.008871085,0,0.157573995,0.07673396
21,2010/2/16,612.98,1322.5,-0.002997233,0,0.158997683,0.07468794
22,2010/3/16,611.85,1313.3,-0.001845155,-0.006980831,0.155491978,0.072797318
23,2010/4/16,609.62,1283.3,-0.003651342,-0.023108168,0.151993014,0.074788235
24,2010/5/16,607.18,1269.4,-0.004010525,-0.010890537,0.14909976,0.104852996
25,2010/6/16,612.08,1254.5,0.008037705,-0.011807261,0.14647053,0.107081424
26,2010/7/16,617.21,1258.75,0.00834633,0.003382078,0.147402456,0.109560316
27,2010/8/16,614.74,1258.75,-0.004009908,0,0.148232901,0.108731904
28,2010/9/16,615.65,1258.75,0.001479206,0,0.146088839,0.106788621
29,2010/10/16,617.54,1259.5,0.003065223,0.000595652,0.143611094,0.104945445
30,2010/11/16,614.77,1253.45,-0.00449563,-0.004815067,0.141610689,0.103300339
31,2010/12/16,635.01,1256.5,0.032392533,0.002430328,0.140000951,0.101894755
32,10/13/16,635.96,1261.05,0.001494921,0.003614629,0.176643883,0.100919374
33,10/14/16,634.02,1251.75,-0.003055169,-0.007402135,0.17388385,0.100393374
34,10/15/16,637.94,1251.75,0.006163735,0,0.171668026,0.100132944
35,10/16/16,641.42,1251.75,0.005440234,0,0.170083361,0.098714481
36,10/17/16,638.97,1254.8,-0.003826964,0.002433625,0.168303017,0.097354377
37,10/18/16,636.29,1258.2,-0.004203071,0.002705931,0.166603347,0.096549922
38,10/19/16,629.25,1269.05,-0.0111258,0.008586461,0.165049831,0.095831322
39,10/20/16,627.72,1271.65,-0.002434427,0.002046681,0.16677569,0.097956467
40,10/21/16,631.92,1266.05,0.006668597,-0.004413452,0.164832507,0.096995137
41,10/22/16,655.48,1266.05,0.036604988,0,0.163884369,0.096115885
42,10/23/16,653.25,1266.05,-0.003407887,0,0.193893576,0.094948186
43,10/24/16,651.39,1265.55,-0.002851363,-0.000395007,0.192053884,0.093822019
44,10/25/16,655.31,1269.4,0.005999865,0.003037538,0.190157654,0.092713036
45,10/26/16,651.45,1270.5,-0.005907758,0.000866176,0.188509628,0.092152009
46,10/27/16,682.22,1266.25,0.046151539,-0.003350747,0.187467028,0.091202085
47,10/28/16,687.68,1273,0.007971427,0.005316543,0.224052441,0.090361336
48,10/29/16,685.91,1273,-0.00257719,0,0.222271355,0.090554938
49,10/30/16,698,1273,0.017472679,0,0.220314459,0.089607348
50,10/31/16,702,1272,0.005714301,-0.000785855,0.22202213,0.088688896
51,2011/1/16,697.01,1288.45,-0.007133646,0.012849481,0.219978543,0.08777926
52,2011/2/16,733.33,1303.75,0.050796047,0.011804782,0.219265805,0.092049337
53,2011/3/16,686.17,1301,-0.066470395,-0.002111528,0.251825969,0.095109258
54,2011/4/16,683.69,1302.8,-0.003620812,0.001382595,0.308141478,0.094272632
55,2011/5/16,704.79,1302.8,0.030395288,0,0.305597602,0.09345308
56,2011/6/16,712,1302.8,0.010178025,0,0.311524903,0.092586067
57,2011/7/16,709.96,1283.05,-0.002869281,-0.015275738,0.309383449,0.091742748
58,2011/8/16,708.97,1282.35,-0.001395418,-0.000545724,0.306940233,0.096220788
59,2011/9/16,720.93,1281.4,0.016728833,-0.000741102,0.304420748,0.095373015
60,2011/10/16,721.5,1267.5,0.000790333,-0.010906774,0.303941599,0.094548009
61,2011/11/16,715.45,1236.45,-0.008420663,-0.024802086,0.301426094,0.096110734
62,2011/12/16,703.71,1236.45,-0.016545376,0,0.300104762,0.107127495
63,11/13/16,702.28,1236.45,-0.002034155,0,0.301098949,0.106270149
64,11/14/16,706.46,1213.6,0.005934398,-0.018653221,0.298852593,0.105433054
65,11/15/16,710.91,1226.95,0.006279256,0.010940266,0.296662276,0.110244453
66,11/16/16,711.73,1229.2,0.001152786,0.001832136,0.294545994,0.112032207
67,11/17/16,736.96,1226.75,0.034834991,-0.001995155,0.292313286,0.111322591
68,11/18/16,747.52,1211,0.014227444,-0.012921931,0.299919714,0.110488685
69,11/19/16,748.98,1211,0.00195122,0,0.298925171,0.111979911
70,11/20/16,729.06,1211,-0.026956248,0,0.296755708,0.11118204
71,11/21/16,738.53,1214.25,0.012905691,0.002680138,0.302184762,0.110400968
72,11/22/16,736.97,1212.25,-0.002114538,-0.001648465,0.301007746,0.109863289
73,11/23/16,741.63,1185.35,0.006303281,-0.022440047,0.299079978,0.109089736
74,11/24/16,737.45,1186.1,-0.005652177,0.000632524,0.297155401,0.115274021
75,11/25/16,735.64,1187.7,-0.002457421,0.00134805,0.295672828,0.114550741
76,11/26/16,733.67,1187.7,-0.002681532,0,0.29387832,0.113893192
77,11/27/16,727.96,1187.7,-0.007813235,0,0.292133119,0.113162358
78,11/28/16,727.31,1187,-0.000893305,-0.000589548,0.291029378,0.112445392
